timestamp,city,hour,day,month,day_of_week,is_weekend,temperature,humidity,pressure,wind_speed,wind_deg,clouds,pm10,no2,o3,co,so2,nh3,target_pm2_5
2026-07-28T05:53:03.169976,Ghotki,5,28,7,1,0,39.65,33,996,4.5,171,53,130.14,0.88,59.38,108.38,2.32,4.96,33.72
2026-07-28T06:24:56.045393,Ghotki,6,28,7,1,0,39.65,33,996,4.5,171,53,130.14,0.88,59.38,108.38,2.32,4.96,33.72
2026-07-28T09:33:30.897179,Ghotki,9,28,7,1,0,42.81,25,994,4.32,176,100,152.9,0.41,83.98,104.34,2.3,2.73,40.83
2026-07-28T11:53:45.241789,Ghotki,11,28,7,1,0,43.35,23,992,4.9,166,84,162.38,0.46,90.46,110.16,2.13,2.65,41.84
2026-07-28T13:54:01.426354,Ghotki,13,28,7,1,0,41.25,27,993,6.38,156,46,158.79,0.7,95.22,118.27,2.28,3.3,42.26
2026-07-28T16:03:14.117917,Ghotki,16,28,7,1,0,38.96,33,994,7.25,160,57,172.78,1.19,97.07,135.77,3.29,4.16,46.93
2026-07-28T18:10:14.537790,Ghotki,18,28,7,1,0,37.91,35,994,7.23,158,42,176.35,1.94,83.2,154.4,4.32,4.95,47.64
2026-07-28T20:13:10.124586,Ghotki,20,28,7,1,0,34.84,45,995,7.27,188,91,170.89,2.75,57.04,155.34,3.94,5.29,44.02
2026-07-28T21:59:38.961372,Ghotki,21,28,7,1,0,33.07,52,995,7.1,183,86,170.29,3.62,40.83,154.51,3.85,5.63,42.62
2026-07-28T23:07:39.544259,Ghotki,23,28,7,1,0,32.24,56,995,6.67,178,89,170.82,3.95,36.24,155.43,3.85,5.76,42.62
2026-07-29T02:08:11.272354,Ghotki,2,29,7,2,0,31.74,57,997,5.1,178,44,172.8,4.33,29.65,158.41,3.9,5.57,43.17
2026-07-29T05:47:05.893622,Ghotki,5,29,7,2,0,39.08,34,997,3.94,168,50,185.4,1.24,66.58,145.72,3.56,4.61,49.11
2026-07-29T08:31:50.656586,Ghotki,8,29,7,2,0,42.99,25,995,3.96,159,29,177.85,0.55,83.98,127.22,2.84,3.35,50.16
2026-07-29T11:21:29.321592,Ghotki,11,29,7,2,0,44.04,22,994,4.04,163,21,154.3,0.38,86.08,116.79,2.03,2.71,43.79
2026-07-29T13:58:58.823933,Ghotki,13,29,7,2,0,41.83,25,993,5.69,170,6,123.03,1.02,93.43,133.92,3.38,4.05,36.96
2026-07-29T15:52:22.262297,Ghotki,15,29,7,2,0,39.35,31,994,6.85,171,9,131.59,1.4,98.71,153.55,4.61,5.25,39.28
2026-07-29T17:10:49.155001,Ghotki,17,29,7,2,0,38.48,33,995,6.48,176,9,147,1.72,98.74,167.36,5.43,5.9,43.56
2026-07-29T19:06:52.309968,Ghotki,19,29,7,2,0,36.98,38,995,7.03,180,5,179.38,2.35,85.17,189.97,5.99,6.97,50.83
2026-07-29T20:50:35.358607,Ghotki,20,29,7,2,0,35.23,44,995,7.68,176,1,201.39,2.86,66.54,198.44,5.52,7.39,53.14
2026-07-29T21:56:20.505434,Ghotki,21,29,7,2,0,34.69,47,995,6.88,179,1,205.45,3.17,58.05,199.26,5.35,7.45,52.77
2026-07-29T22:58:01.966091,Ghotki,22,29,7,2,0,33.56,53,995,5.93,180,3,207.27,3.67,50.19,201.72,5.29,7.58,52.25
2026-07-30T00:02:52.046426,Ghotki,0,30,7,3,0,32.63,57,995,4.81,174,8,205.07,4.3,42.77,204.87,5.26,7.67,51.39
2026-07-30T03:52:54.838002,Ghotki,3,30,7,3,0,36.32,44,997,4.26,177,6,194.61,3.96,36.94,206.41,4.86,6.13,48.61
2026-07-30T06:22:39.326933,Ghotki,6,30,7,3,0,39.95,32,997,3.8,180,24,206.61,1.73,73.72,184.95,4.23,5.01,54.92
2026-07-30T09:27:21.136538,Ghotki,9,30,7,3,0,44.16,23,994,3.58,177,5,230.55,0.58,94.06,143.95,2.98,3.09,60.16
2026-07-30T11:48:24.600141,Ghotki,11,30,7,3,0,44.65,20,992,5.78,176,33,215.36,0.42,91.28,124.21,2.08,2.57,53.94
